pair_ID	relatedness_score	entailment_judgment
4	3.12	NEUTRAL
24	1.93	NEUTRAL
105	3.48	NEUTRAL
116	2.04	NEUTRAL
119	4.66	ENTAILMENT
185	2.79	NEUTRAL
197	3.27	NEUTRAL
211	4.09	ENTAILMENT
218	3.8	NEUTRAL
219	3.64	CONTRADICTION
225	3.76	NEUTRAL
228	3.7	NEUTRAL
236	2.99	NEUTRAL
253	4.68	ENTAILMENT
280	2.42	NEUTRAL
285	3.23	NEUTRAL
304	4.15	ENTAILMENT
317	1.61	NEUTRAL
382	4.16	NEUTRAL
384	4.01	ENTAILMENT
394	3.77	NEUTRAL
402	3.35	NEUTRAL
417	3.36	NEUTRAL
450	2.7	NEUTRAL
520	4.66	ENTAILMENT
526	3.99	NEUTRAL
530	4.5	ENTAILMENT
592	3.66	NEUTRAL
619	3.27	NEUTRAL
630	4.46	ENTAILMENT
647	3.64	NEUTRAL
651	3.6	NEUTRAL
687	3.05	NEUTRAL
698	2.38	NEUTRAL
717	4.3	ENTAILMENT
718	4.94	ENTAILMENT
765	2.87	NEUTRAL
780	3.07	NEUTRAL
816	3.95	ENTAILMENT
860	3.13	NEUTRAL
873	4.02	NEUTRAL
882	4.51	ENTAILMENT
913	3.75	CONTRADICTION
933	3.69	NEUTRAL
947	4.72	ENTAILMENT
980	2.21	NEUTRAL
987	3.62	CONTRADICTION
988	4.61	ENTAILMENT
1039	2.31	NEUTRAL
1102	1.53	NEUTRAL
1137	4.3	NEUTRAL
1170	4.13	NEUTRAL
1177	3.72	NEUTRAL
1178	3.72	CONTRADICTION
1190	3.06	NEUTRAL
1192	3.35	NEUTRAL
1232	3.71	ENTAILMENT
1236	4.11	ENTAILMENT
1237	4.24	ENTAILMENT
1241	3.94	ENTAILMENT
1266	4.16	ENTAILMENT
1302	3.02	NEUTRAL
1333	4.64	ENTAILMENT
1390	1.59	NEUTRAL
1396	2.56	NEUTRAL
1400	3.75	NEUTRAL
1410	2.37	NEUTRAL
1412	3.55	NEUTRAL
1443	2.53	NEUTRAL
1469	3.83	CONTRADICTION
1470	3.38	NEUTRAL
1487	3.93	CONTRADICTION
1493	4.61	ENTAILMENT
1495	3.99	NEUTRAL
1503	4.37	ENTAILMENT
1506	3.48	NEUTRAL
1525	2.4	NEUTRAL
1584	3.28	NEUTRAL
1608	4.69	ENTAILMENT
1628	4.11	NEUTRAL
1676	1.25	NEUTRAL
1690	4.34	NEUTRAL
1703	4.78	ENTAILMENT
1711	2.72	NEUTRAL
1754	4.43	ENTAILMENT
1807	2.5	NEUTRAL
1811	2.52	NEUTRAL
1839	4.39	ENTAILMENT
1847	1.78	NEUTRAL
1861	4.17	NEUTRAL
1877	4.44	ENTAILMENT
1881	3.36	NEUTRAL
1964	4.39	ENTAILMENT
2001	4.87	ENTAILMENT
2019	3.82	NEUTRAL
2058	3.47	NEUTRAL
2089	3.4	NEUTRAL
2096	1.75	NEUTRAL
2130	4.15	ENTAILMENT
2157	3.54	NEUTRAL
2166	4.28	NEUTRAL
2221	2.78	NEUTRAL
2229	3.77	NEUTRAL
2231	3.47	NEUTRAL
2284	4.29	ENTAILMENT
2286	4.23	ENTAILMENT
2362	3.53	NEUTRAL
2364	3.91	NEUTRAL
2366	3.93	NEUTRAL
2385	4.28	NEUTRAL
2392	3.92	CONTRADICTION
2402	3.44	NEUTRAL
2404	3.23	NEUTRAL
2405	4.26	NEUTRAL
2410	2.81	NEUTRAL
2430	4.04	ENTAILMENT
2476	4.2	NEUTRAL
2485	3.28	NEUTRAL
2525	3.43	NEUTRAL
2527	3.89	NEUTRAL
2535	3.68	NEUTRAL
2544	3.77	NEUTRAL
2557	3.99	NEUTRAL
2566	3.51	CONTRADICTION
2604	4.87	ENTAILMENT
2606	4.74	ENTAILMENT
2662	1.95	NEUTRAL
2668	3.06	NEUTRAL
2678	3.95	ENTAILMENT
2679	3.04	NEUTRAL
2687	3.87	CONTRADICTION
2704	4.95	ENTAILMENT
2712	3.99	CONTRADICTION
2720	2.56	NEUTRAL
2721	3.07	NEUTRAL
2722	4.78	ENTAILMENT
2726	4.22	ENTAILMENT
2738	2.87	NEUTRAL
2766	3.27	NEUTRAL
2772	4.62	NEUTRAL
2791	4.65	ENTAILMENT
2795	4.26	ENTAILMENT
2812	3.48	NEUTRAL
2822	3.09	NEUTRAL
2829	4.47	ENTAILMENT
2842	3.71	NEUTRAL
2886	3.98	NEUTRAL
2898	4.2	ENTAILMENT
2911	3.57	CONTRADICTION
2932	4.2	NEUTRAL
2936	4.07	ENTAILMENT
2965	4.02	ENTAILMENT
2967	4.54	ENTAILMENT
2968	4.09	ENTAILMENT
2972	4.16	NEUTRAL
2996	3.9	NEUTRAL
3002	3.21	NEUTRAL
3036	3.92	CONTRADICTION
3061	3.73	CONTRADICTION
3107	4.14	NEUTRAL
3122	4.19	NEUTRAL
3123	3.52	NEUTRAL
3143	2.5	NEUTRAL
3174	2.94	NEUTRAL
3181	2.98	CONTRADICTION
